x,y,distance,angle,is_header,is_volley,is_big_chance,is_penalty,is_free_kick,defenders_in_cone,gk_set,centrality,goal,dist_angle,match_id,competition
112.6,48.8,11.498,0.4712,0,0,1,0,0,2,1,0.78,0,5.418,3857269,WC 2022
104.3,26.2,20.903,0.29,0,0,0,0,0,3,1,0.655,0,6.061,3857269,WC 2022
103.5,43.9,16.955,0.4526,1,0,0,0,0,5,1,0.903,0,7.674,3857269,WC 2022
99.4,37.0,20.817,0.3761,0,0,0,0,0,3,1,0.925,0,7.829,3857269,WC 2022
97.4,42.8,22.773,0.3453,0,0,0,0,0,4,1,0.93,0,7.864,3857269,WC 2022
110.6,37.4,9.753,0.76,1,0,1,0,0,3,1,0.935,0,7.412,3857269,WC 2022
107.0,26.5,18.742,0.3008,0,0,0,0,0,0,1,0.662,0,5.638,3857269,WC 2022
102.2,47.4,19.277,0.3809,1,0,0,0,0,6,1,0.815,0,7.342,3857269,WC 2022
106.3,29.4,17.322,0.3682,0,1,0,0,0,2,1,0.735,1,6.379,3857269,WC 2022
109.7,25.4,17.868,0.2653,0,0,0,0,0,1,1,0.635,0,4.741,3857269,WC 2022
102.1,56.6,24.412,0.2421,0,0,0,0,0,5,1,0.585,0,5.909,3857269,WC 2022
105.8,41.8,14.314,0.5415,0,0,0,0,0,1,1,0.955,0,7.751,3857269,WC 2022
101.6,53.3,22.704,0.2866,0,1,0,0,0,4,1,0.668,0,6.507,3869321,WC 2022
96.6,50.3,25.567,0.2856,0,0,0,0,0,1,1,0.743,0,7.301,3869321,WC 2022
101.6,32.9,19.722,0.3759,0,1,0,0,0,3,1,0.823,0,7.414,3869321,WC 2022
97.6,42.3,22.518,0.3499,0,0,0,0,0,3,1,0.943,0,7.879,3869321,WC 2022
109.1,42.4,11.161,0.6767,0,0,1,0,0,0,1,0.94,1,7.552,3869321,WC 2022
104.0,32.2,17.8,0.4023,0,0,0,0,0,2,1,0.805,0,7.16,3869321,WC 2022
96.0,33.3,24.918,0.3074,0,0,0,0,1,8,1,0.832,0,7.659,3869321,WC 2022
108.0,40.0,12.0,0.6435,0,0,0,1,0,0,0,1.0,1,7.722,3869321,WC 2022
108.7,46.4,12.987,0.5347,1,0,0,0,0,3,1,0.84,1,6.943,3869321,WC 2022
104.6,53.3,20.348,0.3002,0,1,0,0,0,2,1,0.668,0,6.108,3869321,WC 2022
113.5,52.9,14.445,0.2636,0,1,0,0,0,2,1,0.677,0,3.808,3869321,WC 2022
97.2,37.9,22.897,0.3446,0,0,0,0,1,8,1,0.948,0,7.889,3869321,WC 2022
111.8,39.9,8.201,0.9076,0,0,1,0,0,1,1,0.997,1,7.443,3869321,WC 2022
101.1,53.3,23.111,0.2839,0,0,0,0,0,6,1,0.668,0,6.562,3869321,WC 2022
110.9,28.4,14.743,0.3469,0,1,0,0,0,1,1,0.71,0,5.115,3869321,WC 2022
109.5,45.9,12.044,0.577,0,0,0,0,0,3,1,0.853,0,6.949,3869321,WC 2022
94.2,43.8,26.078,0.3013,0,0,0,0,0,7,1,0.905,0,7.858,3869321,WC 2022
112.5,31.3,11.487,0.4776,1,0,1,0,0,2,1,0.782,0,5.485,3869321,WC 2022
97.6,38.6,22.444,0.3521,0,0,0,0,0,1,1,0.965,0,7.903,3869321,WC 2022
96.6,41.6,23.455,0.3371,0,0,0,0,0,3,1,0.96,0,7.907,3869321,WC 2022
97.2,49.3,24.624,0.2997,0,0,0,0,0,5,1,0.768,0,7.379,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,0,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,1,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,0,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,1,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,1,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,1,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,1,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,1,0.997,0,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,1,7.717,3869321,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,1,7.717,3869321,WC 2022
99.6,29.7,22.853,0.3119,0,0,0,0,0,2,1,0.742,0,7.127,3857292,WC 2022
109.5,48.0,13.2,0.488,0,0,0,0,0,8,1,0.8,0,6.442,3857292,WC 2022
